timestamp,protocol,src_ip,src_port,dst_ip,dst_port,size_bytes,alert
2026-05-22 16:55:58.748,HTTPS,192.168.0.236,50120,199.165.136.100,443,66,
2026-05-22 16:55:58.815,HTTPS,199.165.136.100,443,192.168.0.236,50120,84,
2026-05-22 16:55:59.092,UDP,192.168.0.99,55541,239.255.255.250,15600,77,
2026-05-22 16:55:59.298,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:55:59.700,OTHER,192.168.0.1,0,224.0.0.1,0,52,
2026-05-22 16:55:59.880,OTHER,192.168.0.236,0,224.0.0.22,0,62,
2026-05-22 16:55:59.916,UDP,192.168.0.178,54462,239.255.255.250,15600,77,
2026-05-22 16:56:01.143,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:01.550,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:02.062,UDP,192.168.0.99,52699,192.168.0.255,15600,77,
2026-05-22 16:56:02.472,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:02.880,UDP,192.168.0.178,58976,192.168.0.255,15600,77,
2026-05-22 16:56:04.315,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:05.032,UDP,192.168.0.99,60362,239.255.255.250,15600,77,
2026-05-22 16:56:05.952,UDP,192.168.0.178,53720,239.255.255.250,15600,77,
2026-05-22 16:56:06.158,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:06.568,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:06.813,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:06.824,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:06.825,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:07.489,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:08.103,UDP,192.168.0.99,36282,192.168.0.255,15600,77,
2026-05-22 16:56:08.924,UDP,192.168.0.178,46140,192.168.0.255,15600,77,
2026-05-22 16:56:09.333,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:11.074,UDP,192.168.0.99,36624,239.255.255.250,15600,77,
2026-05-22 16:56:11.176,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:11.586,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:11.892,UDP,192.168.0.178,52174,239.255.255.250,15600,77,
2026-05-22 16:56:12.316,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:56:12.346,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:56:12.405,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:13.472,HTTPS,209.177.156.197,443,192.168.0.236,33730,93,
2026-05-22 16:56:13.473,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:56:14.043,UDP,192.168.0.99,53128,192.168.0.255,15600,77,
2026-05-22 16:56:14.351,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:14.964,UDP,192.168.0.178,59001,192.168.0.255,15600,77,
2026-05-22 16:56:16.194,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:16.604,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:16.835,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:16.845,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:16.846,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:17.117,UDP,192.168.0.99,48801,239.255.255.250,15600,77,
2026-05-22 16:56:17.424,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:17.934,UDP,192.168.0.178,60234,239.255.255.250,15600,77,
2026-05-22 16:56:19.368,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:20.084,UDP,192.168.0.99,35809,192.168.0.255,15600,77,
2026-05-22 16:56:20.904,UDP,192.168.0.178,45399,192.168.0.255,15600,77,
2026-05-22 16:56:21.020,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
2026-05-22 16:56:21.174,HTTPS,192.200.0.114,443,192.168.0.236,35654,84,
2026-05-22 16:56:21.212,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:21.622,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:22.031,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:56:22.032,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:56:22.134,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:56:22.136,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:56:22.237,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:56:22.238,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:56:22.440,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:23.055,UDP,192.168.0.99,57848,239.255.255.250,15600,77,
2026-05-22 16:56:23.976,UDP,192.168.0.178,34858,239.255.255.250,15600,77,
2026-05-22 16:56:24.388,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:26.126,UDP,192.168.0.99,36794,192.168.0.255,15600,77,
